ORF_ID	AMR_Gene_Family	Antibiotic
k191_112290_226	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_112290_226	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_112290_226	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_112290_227	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_112290_227	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_112290_227	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_112744_12	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_112744_12	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_112744_12	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_113318_128	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_113318_128	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_113318_128	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_115658_48	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_115658_48	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_115658_48	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_117165_5	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_117165_5	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_117165_5	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_118319_30	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin
k191_118319_30	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin
k191_118319_30	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin
k191_118320_125	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_118320_125	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_118320_125	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_118320_131	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k191_118320_131	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k191_118320_131	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k191_118320_133	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k191_118320_133	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k191_118320_133	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k191_118562_286	macrolide phosphotransferase (MPH)	erythromycin
k191_118562_286	macrolide phosphotransferase (MPH)	erythromycin
k191_118562_286	macrolide phosphotransferase (MPH)	erythromycin
k191_119906_2	vanH; glycopeptide resistance gene cluster	vancomycin
k191_119906_2	vanH; glycopeptide resistance gene cluster	vancomycin
k191_119906_2	vanH; glycopeptide resistance gene cluster	vancomycin
k191_1208009_1	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline
k191_1208009_1	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline
k191_1208009_1	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline
k191_121380_16	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_121380_16	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_121380_16	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_1240499_4	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1240499_4	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1240499_4	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_124414_199	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_124414_199	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_124414_199	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1247134_76	vanH; glycopeptide resistance gene cluster	vancomycin
k191_1247134_76	vanH; glycopeptide resistance gene cluster	vancomycin
k191_1247134_76	vanH; glycopeptide resistance gene cluster	vancomycin
k191_12563_101	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_12563_101	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_12563_101	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_126845_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_126845_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_126845_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_127032_4	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_127032_4	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_127032_4	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_127305_1	APH(3'')	streptomycin
k191_127305_1	APH(3'')	streptomycin
k191_127305_1	APH(3'')	streptomycin
k191_1295_293	BJP beta-lactamase	
k191_1295_293	BJP beta-lactamase	
k191_1295_293	BJP beta-lactamase	
k191_12998_10	fosfomycin thiol transferase	fosfomycin
k191_12998_10	fosfomycin thiol transferase	fosfomycin
k191_12998_10	fosfomycin thiol transferase	fosfomycin
k191_1359534_143	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_1359534_143	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_1359534_143	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_1359534_785	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1359534_785	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1359534_785	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1364039_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1364039_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1364039_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_138999_5	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_138999_5	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_138999_5	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14049_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14049_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14049_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_142318_38	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_142318_38	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_142318_38	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_143384_35	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_143384_35	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_143384_35	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_14376_124	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14376_124	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14376_124	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_144793_2	vanY; glycopeptide resistance gene cluster	vancomycin
k191_144793_2	vanY; glycopeptide resistance gene cluster	vancomycin
k191_144793_2	vanY; glycopeptide resistance gene cluster	vancomycin
k191_145199_13	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_145199_13	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_145199_13	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_14690_7	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_14690_7	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_14690_7	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_147051_43	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_147051_43	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_147051_43	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1492_1	elfamycin resistant EF-Tu	pulvomycin
k191_1492_1	elfamycin resistant EF-Tu	pulvomycin
k191_1492_1	elfamycin resistant EF-Tu	pulvomycin
k191_14923_10	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_14923_10	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_14923_10	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_14923_66	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14923_66	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_14923_66	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1510_152	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1510_152	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1510_152	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15128_137	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_15128_137	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_15128_137	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_15128_272	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15128_272	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15128_272	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_152303_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_152303_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_152303_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15319_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15319_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15319_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_15341_23	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_15341_23	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_15341_23	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_154203_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_154203_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_154203_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_156705_8	glycopeptide resistance gene cluster; vanT	vancomycin
k191_156705_8	glycopeptide resistance gene cluster; vanT	vancomycin
k191_156705_8	glycopeptide resistance gene cluster; vanT	vancomycin
k191_156776_643	ATP-binding cassette (ABC) antibiotic efflux pump	metronidazole
k191_156776_643	ATP-binding cassette (ABC) antibiotic efflux pump	metronidazole
k191_156776_643	ATP-binding cassette (ABC) antibiotic efflux pump	metronidazole
k191_156776_78	glycopeptide resistance gene cluster; Van ligase	vancomycin
k191_156776_78	glycopeptide resistance gene cluster; Van ligase	vancomycin
k191_156776_78	glycopeptide resistance gene cluster; Van ligase	vancomycin
k191_161842_23	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_161842_23	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_161842_23	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_16364_293	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_16364_293	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_16364_293	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_168116_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_168116_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_168116_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1688_111	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1688_111	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1688_111	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_169905_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_169905_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_169905_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_170157_16	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_170157_16	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_170157_16	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_172426_7	vanH; glycopeptide resistance gene cluster	vancomycin
k191_172426_7	vanH; glycopeptide resistance gene cluster	vancomycin
k191_172426_7	vanH; glycopeptide resistance gene cluster	vancomycin
k191_176670_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_176670_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_176670_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_179085_16	helicase-like RNA polymerase protection protein	rifampin; rifaximin; rifabutin
k191_179085_16	helicase-like RNA polymerase protection protein	rifampin; rifaximin; rifabutin
k191_179085_16	helicase-like RNA polymerase protection protein	rifampin; rifaximin; rifabutin
k191_180059_171	major facilitator superfamily (MFS) antibiotic efflux pump	acriflavine; puromycin
k191_180059_171	major facilitator superfamily (MFS) antibiotic efflux pump	acriflavine; puromycin
k191_180059_171	major facilitator superfamily (MFS) antibiotic efflux pump	acriflavine; puromycin
k191_180059_178	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir
k191_180059_178	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir
k191_180059_178	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir
k191_182215_7	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_182215_7	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_182215_7	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_183233_118	vanH; glycopeptide resistance gene cluster	vancomycin
k191_183233_118	vanH; glycopeptide resistance gene cluster	vancomycin
k191_183233_118	vanH; glycopeptide resistance gene cluster	vancomycin
k191_187394_13	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_187394_13	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_187394_13	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_188743_271	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_188743_271	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_188743_271	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_19298_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_19298_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_19298_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_194094_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_194094_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_194094_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_194857_123	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_194857_123	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_194857_123	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1955_73	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1955_73	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1955_73	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_197760_2	vanY; glycopeptide resistance gene cluster	vancomycin
k191_197760_2	vanY; glycopeptide resistance gene cluster	vancomycin
k191_197760_2	vanY; glycopeptide resistance gene cluster	vancomycin
k191_19846_4	vanH; glycopeptide resistance gene cluster	vancomycin
k191_19846_4	vanH; glycopeptide resistance gene cluster	vancomycin
k191_19846_4	vanH; glycopeptide resistance gene cluster	vancomycin
k191_200121_17	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_200121_17	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_200121_17	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_200534_14	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_200534_14	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_200534_14	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_2011_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_2011_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_2011_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_204873_125	fosfomycin thiol transferase	fosfomycin
k191_204873_125	fosfomycin thiol transferase	fosfomycin
k191_204873_125	fosfomycin thiol transferase	fosfomycin
k191_213020_40	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_213020_40	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_213020_40	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_2135296_1	msr-type ABC-F protein	erythromycin; azithromycin
k191_2135296_1	msr-type ABC-F protein	erythromycin; azithromycin
k191_2135296_1	msr-type ABC-F protein	erythromycin; azithromycin
k191_215384_9	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_215384_9	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_215384_9	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_218353_3	PER beta-lactamase	
k191_218353_3	PER beta-lactamase	
k191_218353_3	PER beta-lactamase	
k191_219001_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_219001_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_219001_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_220058_6	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin
k191_220058_6	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin
k191_220058_6	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin
k191_224030_2	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_224030_2	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_224030_2	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_224749_30	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_224749_30	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_224749_30	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_22664_7	major facilitator superfamily (MFS) antibiotic efflux pump	erythromycin; gentamicin C; ciprofloxacin; spectinomycin; streptomycin; tobramycin; ceftazidime; ertapenem; piperacillin; azithromycin; imipenem; polymyxin B; polymyxin B1; polymyxin B2; polymyxin B3; polymyxin B4; norfloxacin; ticarcillin; gentamicin
k191_22664_7	major facilitator superfamily (MFS) antibiotic efflux pump	erythromycin; gentamicin C; ciprofloxacin; spectinomycin; streptomycin; tobramycin; ceftazidime; ertapenem; piperacillin; azithromycin; imipenem; polymyxin B; polymyxin B1; polymyxin B2; polymyxin B3; polymyxin B4; norfloxacin; ticarcillin; gentamicin
k191_22664_7	major facilitator superfamily (MFS) antibiotic efflux pump	erythromycin; gentamicin C; ciprofloxacin; spectinomycin; streptomycin; tobramycin; ceftazidime; ertapenem; piperacillin; azithromycin; imipenem; polymyxin B; polymyxin B1; polymyxin B2; polymyxin B3; polymyxin B4; norfloxacin; ticarcillin; gentamicin
k191_231748_28	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_231748_28	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_231748_28	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_233067_334	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_233067_334	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_233067_334	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_233067_335	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_233067_335	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_233067_335	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k191_233067_427	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k191_233067_427	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k191_233067_427	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k191_233067_428	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k191_233067_428	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k191_233067_428	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k191_233680_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_233680_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_233680_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23620_225	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23620_225	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23620_225	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23620_261	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23620_261	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23620_261	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_239459_107	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_239459_107	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_239459_107	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_239459_127	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_239459_127	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_239459_127	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_23952_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_23952_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_23952_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_241006_209	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_241006_209	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_241006_209	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_249145_345	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_249145_345	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_249145_345	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_24992_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_24992_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_24992_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_2513_44	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_2513_44	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_2513_44	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_25749_213	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_25749_213	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_25749_213	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_26110_23	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_26110_23	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_26110_23	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_261723_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_261723_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_261723_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_26341_67	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_26341_67	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_26341_67	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
